district_standard,N_off,pop,district_area_in_km2,pop_density,office_density_per_100km2,office_per_pop_density_10km,office_per_pop
City of Tshwane,11,4038060.523461341,6310.24372745204,639.9214828888765,0.17431973272515097,0.0017189608872546897,2.7240800221020534
Ekurhuleni,9,4059057.145960266,1979.0528085810192,2051.010022754577,0.45476300384591556,4.3880819206883686e-4,2.217263683749108
City of Johannesburg,11,5900321.358997883,1648.0161865893256,3580.2569216319253,0.6674691723001338,3.0724052046482924e-4,1.86430523537929
Amathole,12,792612.2759702023,21129.82124253822,37.5115466842913,0.0567917724540035,0.031990149862376215,15.13981093127951
Joe Gqabi,5,354930.5897601954,25640.988611139772,13.84231299123916,0.019500028161268872,0.03612113093501436,14.087261408993205
Sekhukhune,6,1333431.6051017374,13556.421648057987,98.36162076684572,0.04425946725299389,0.006099940152696621,4.499668357224977
Ngaka Modiri Molema,7,916906.7118673592,28167.459806351024,32.55198438804982,0.024851371220991975,0.02150406536373793,7.634364444496104
Frances Baard,8,438828.62680325255,12854.535573296906,34.138038227911075,0.06223484274778957,0.023434269850513098,18.23035123819936
uMkhanyakude,9,711366.3224677361,13877.546828664106,51.2602357787334,0.06485296076544651,0.01755746898794772,12.651709415732418
Ehlanzeni,12,1928692.2760616841,27953.63284059716,68.99612250972393,0.04292823071845015,0.017392281715988875,6.221832351868771
Central Karoo,3,77156.77056702615,38876.750242145696,1.9846507253423067,0.007716694377267535,0.15116009893794127,38.88187618472053
Waterberg,7,826172.3990082237,45013.5836700884,18.353846364763367,0.015550861382875213,0.038139144574289074,8.472807864802952
Nkangala,9,1779928.229123312,16791.117061716952,106.0041581856084,0.05359976925251522,0.008490232981466079,5.056383652296402
City of Cape Town,7,5030496.59298054,2446.4362057424305,2056.25496433246,0.28613049396379747,3.4042471003942215e-4,1.3915127205866051
Gert Sibande,8,1367512.5719193763,31897.632040125245,42.871915075047895,0.02508023162953443,0.01866023476207183,5.850037626178147
Thabo Mofutsanyana,6,810097.0362027789,32782.73416118096,24.711088227718346,0.018302317221315798,0.024280598024290244,7.406520122730228
iLembe,5,742037.9964654126,3273.43951101161,226.6844992764495,0.1527445362341466,0.002205708822596789,6.73819942350224
Buffalo City,4,NA,2751.702656329436,NA,0.14536454332372156,NA,NA
Alfred Nzo,6,935303.2361904299,10741.896123557604,87.07059027868044,0.055856060522142356,0.006890960519270905,6.415031797001487
Mangaung,3,857972.9828571707,9898.828588746464,86.67419333157883,0.030306616314283552,0.003461237866412287,3.4966135996608863
Capricorn,9,1412657.0913571664,21756.600073657657,64.93004819570021,0.04136675753348508,0.013861070875650446,6.370972867416486
Lejweleputswa,6,698356.3127689835,32334.828929641368,21.597649837225507,0.01855584272010728,0.027780800435325406,8.591602725276433
Overberg,4,329835.08273311995,12242.299393048068,26.94224933923938,0.03267360053513678,0.01484657034249289,12.127272717185537
Bojanala Platinum,9,1985081.4733419877,18370.295504800506,108.05931090347721,0.0489921351436515,0.008328759386629025,4.533818949429835
Harry Gwala,5,507708.0738614886,10397.623267434486,48.82924306861915,0.04808791270270463,0.01023976552938484,9.848179017464442
Vhembe,11,1527097.2698275927,25659.969333584188,59.512825209377894,0.042868328706858666,0.01848341086362448,7.203208477507059
Chris Hani,10,717288.7961589006,36434.654549393774,19.686993194528185,0.02744639718332773,0.05079495838287487,13.94138602686986
Namakwa,2,129514.61627167022,126966.00663114274,1.020073165315277,0.0015752247810788685,0.196064367537975,15.442272521618674
West Rand,3,1046309.516120648,4095.0362177134393,255.5067795480646,0.07325942532628249,0.0011741371423906407,2.8672204101927288
Pixley ka Seme,5,219155.38976369286,103522.35950106318,2.116986038764332,0.004829874458134476,0.2361848358205735,22.814862118569454
Cape Winelands,5,1014431.6095358268,21482.654975471352,47.22096084930346,0.02327459062070746,0.01058851812854154,4.9288684944348775
eThekwini,9,4374202.13871922,2558.896065706867,1709.4098495598314,0.35171416770746605,5.264974928228871e-4,2.0575180832029925
West Coast,4,502575.67037428723,31140.40961343465,16.139019255464937,0.012845046194492936,0.024784653495258293,7.959000476527341
Nelson Mandela Bay,4,1263632.3531464078,1957.8012216651346,645.4344491989194,0.2043108337933281,6.197376054167231e-4,3.1654776723942817
Umzinyathi,4,607975.3608050649,8664.580590143683,70.16789266137843,0.046164958111765554,0.005700612984493499,6.579213991013231
Zululand,7,901274.5990955206,14822.147319988842,60.805939897796065,0.04722662546040103,0.01151203321873776,7.766778301557473
King Cetshwayo,8,992551.2608709531,8224.819714878597,120.67757048527643,0.09726656969183288,0.00662923521564934,8.060037113831365
uThukela,2,732104.0938367003,11149.643030798172,65.66166215496237,0.017937794012557063,0.0030459174111066123,2.7318519549845743
Sedibeng,5,1061184.781928064,4180.283356729149,253.8547489178784,0.11960911673490565,0.0019696302792497657,4.7117147599078
O.R. Tambo,9,1623984.1843353636,12151.31116256376,133.64682729371611,0.07406608126148194,0.0067341665958299685,5.5419258923899966
Fezile Dabi,6,536755.0905963285,20702.206315594278,25.927434130149155,0.02898241814680593,0.023141510918055056,11.178282432932441
Dr Ruth Segomotsi Mompati,3,474901.423253753,43842.04965946265,10.832099022342415,0.006842745773297793,0.027695463213659368,6.317100461493072
Garden Route,4,673192.4425789034,23338.734293221933,28.844428070566487,0.01713889000896542,0.013867496315802119,5.941837351406643
Mopani,8,1266833.7476358623,20057.119926292286,63.16129894478057,0.039886085486845184,0.012665983970649629,6.3149564928542725
Sarah Baartman,5,527417.5796091665,58273.66705414512,9.050701736671474,0.008580204838240638,0.05524433514078901,9.480154233207701
ZF Mgcawu,3,295250.14511766756,102640.1201324889,2.8765568935086563,0.002922833679586082,0.1042913493826564,10.160875615503574
